Count,Integrity,Time
0,true,323
1,true,275
2,true,335
3,true,416
4,true,325
5,true,348
6,true,376
7,true,282
8,true,456
9,true,329
10,true,305
11,true,315
12,true,344
13,true,301
14,true,305
15,true,309
16,true,359
17,true,352
18,true,291
19,true,323
20,true,347
21,true,300
22,true,266
23,true,398
24,true,315
25,true,487
26,true,339
27,true,315
28,true,298
29,true,289
30,true,282
31,true,315
32,true,538
33,true,268
34,true,351
35,true,285
36,true,316
37,true,331
38,true,330
39,true,510
40,true,291
41,true,252
42,true,290
43,true,334
44,true,384
45,true,258
46,true,399
47,true,281
48,true,372
49,true,365
50,true,369
51,true,305
52,true,349
53,true,378
54,true,389
55,true,303
56,true,290
57,true,340
58,true,331
59,true,336
60,true,410
61,true,407
62,true,280
63,true,309
64,true,247
65,true,334
66,true,292
67,true,416
68,true,315
69,true,308
70,true,257
71,true,295
72,true,234
73,true,290
74,true,414
75,true,369
76,true,340
77,true,293
78,true,285
79,true,311
80,true,253
81,true,444
82,true,333
83,true,376
84,true,297
85,true,303
86,true,245
87,true,352
88,true,332
89,true,290
90,true,296
91,true,349
92,true,367
93,true,308
94,true,335
95,true,468
96,true,298
97,true,281
98,true,246
99,true,322
100,true,322
101,true,369
102,true,407
103,true,250
104,true,385
105,true,371
106,true,378
107,true,302
108,true,283
109,true,408
110,true,304
111,true,378
112,true,242
113,true,284
114,true,264
115,true,310
116,true,378
117,true,310
118,true,374
119,true,349
120,true,315
121,true,354
122,true,358
123,true,314
124,true,301
125,true,339
126,true,279
127,true,357
128,true,304
129,true,338
130,true,458
131,true,278
132,true,266
133,true,391
134,true,304
135,true,340
136,true,398
137,true,352
138,true,344
139,true,331
140,true,317
141,true,359
142,true,327
143,true,278
144,true,408
145,true,297
146,true,334
147,true,411
148,true,432
149,true,305
150,true,271
151,true,356
152,true,252
153,true,311
154,true,349
155,true,358
156,true,324
157,true,348
158,true,291
159,true,366
160,true,369
161,true,399
162,true,326
163,true,321
164,true,368
165,true,529
166,true,277
167,true,291
168,true,281
169,true,403
170,true,259
171,true,415
172,true,385
173,true,306
174,true,355
175,true,292
176,true,362
177,true,268
178,true,407
179,true,281
180,true,330
181,true,353
182,true,354
183,true,278
184,true,379
185,true,403
186,true,336
187,true,383
188,true,295
189,true,298
190,true,333
191,true,255
192,true,396
193,true,306
194,true,321
195,true,333
196,true,364
197,true,344
198,true,313
199,true,346
200,true,304
201,true,312
202,true,343
203,true,267
204,true,372
205,true,334
206,true,365
207,true,298
208,true,270
209,true,295
210,true,307
211,true,282
212,true,410
213,true,331
214,true,292
215,true,283
216,true,306
217,true,309
218,true,413
219,true,298
220,true,342
221,true,293
222,true,348
223,true,330
224,true,345
225,true,295
226,true,316
227,true,344
