Count,Persistence,Time
0,true,504
1,true,465
2,true,449
3,true,456
4,true,588
5,true,297
6,true,238
7,true,363
8,true,494
9,true,229
10,true,294
11,true,270
12,true,285
13,true,279
14,true,560
15,true,251
16,true,254
17,true,275
18,true,294
19,true,219
20,true,353
21,true,241
22,true,334
23,true,253
24,true,283
25,true,372
26,true,264
27,true,405
28,true,329
29,true,278
30,true,286
31,true,349
32,true,289
33,true,221
34,true,564
35,true,297
36,true,278
37,true,296
38,true,316
39,true,284
40,true,315
41,true,496
42,true,318
43,true,311
44,true,281
45,true,339
46,true,355
47,true,269
48,true,265
49,true,406
50,true,282
51,true,313
52,true,318
53,true,377
54,true,431
55,true,420
56,true,499
57,true,255
58,true,352
59,true,310
60,true,241
61,true,297
62,true,390
63,true,444
64,true,283
65,true,312
66,true,294
67,true,376
68,true,282
69,true,288
70,true,294
71,true,397
72,true,265
73,true,253
74,true,244
75,true,343
76,true,305
77,true,290
78,true,419
79,true,229
80,true,328
81,true,317
82,true,281
83,true,284
84,true,301
85,true,564
86,true,320
87,true,365
88,true,316
89,true,375
90,true,301
91,true,320
92,true,500
93,true,369
94,true,663
95,true,522
96,true,375
97,true,399
98,true,311
99,true,332
100,true,311
101,true,284
102,true,257
103,true,348
104,true,258
105,true,301
106,true,339
107,true,330
108,true,326
109,true,365
110,true,298
111,true,401
112,true,358
113,true,266
114,true,496
115,true,294
116,true,332
117,true,300
118,true,295
119,true,330
120,true,400
121,true,537
122,true,289
123,true,328
124,true,293
125,true,382
126,true,250
127,true,261
128,true,640
129,true,339
130,true,289
131,true,317
132,true,312
133,true,304
134,true,281
135,true,330
136,true,303
137,true,297
138,true,295
139,true,389
140,true,309
141,true,291
142,true,324
143,true,353
144,true,367
145,true,365
146,true,280
147,true,319
148,true,336
149,true,311
150,true,516
151,true,298
152,true,381
153,true,262
154,true,324
155,true,299
156,true,356
157,true,302
158,true,344
159,true,316
160,true,354
161,true,290
162,true,271
163,true,299
164,true,262
